timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
6041,-0.2087,-0.5735,-0.9395,104.9771,-47.2443,-29.6336
6061,-0.2344,-0.5781,-0.8645,131.3817,-45.687,-34.145
6081,-0.2336,-0.593,-0.7751,158.8244,-46,-39.5115
6101,-0.2251,-0.5964,-0.6509,181.2443,-56.1145,-48.5954
6121,-0.1562,-0.5793,-0.6064,204.2748,-68.8626,-55.0992
6141,-0.1194,-0.5896,-0.4973,227.5496,-78.1603,-54.6718
6161,-0.168,-0.6326,-0.2744,240.6107,-84.5649,-61.0305
6181,-0.1614,-0.6814,-0.0913,232.855,-74.6718,-70.4427
6201,-0.1062,-0.7205,0.0085,211.4733,-48.0763,-73.5038
6221,-0.021,-0.7246,-0.0203,196.0458,-19.3053,-66.9771
6241,-0.0586,-0.7358,0.0603,195.7099,-2.7176,-60.3969
6261,-0.0718,-0.7605,0.2002,195.0382,-3.0992,-58.5344
6281,-0.0352,-0.7649,0.2617,185.8015,-11.3282,-64.3588
6301,-0.012,-0.769,0.229,182.4657,-20.7328,-67.5802
6321,-0.0283,-0.7539,0.2615,197.771,-23.7252,-76.4809
6341,0.0312,-0.7058,0.3726,197.4809,-11.4809,-75.0076
6361,0.0051,-0.7148,0.5505,187.7176,-3.4275,-70.6565
6381,0.0061,-0.7505,0.5698,175.6641,-13.5573,-79.2977
6401,0.0498,-0.6895,0.5388,171.7176,-27.0687,-92.8397
6421,0.0913,-0.6558,0.5742,178.0382,-29.145,-98.3206
6441,0.1365,-0.6121,0.6633,175.4046,-18.8626,-101.9237
6461,0.092,-0.6128,0.8013,167.4427,-21.5496,-107.4122
6481,0.179,-0.5571,0.8843,163.5267,-43.5267,-123.4962
6501,0.3345,-0.531,0.9258,157.4886,-58.8855,-133.1298
6521,0.438,-0.488,0.9304,148.4122,-49.6336,-130.8473
6541,0.5396,-0.439,1.0356,133.3282,-21.1527,-113.3511
6561,0.5115,-0.4006,1.1099,113.4046,4.9466,-95.3511
6581,0.4709,-0.3191,1.1147,103.4198,15.9008,-92.458
6601,0.6064,-0.2896,1.1948,108.9542,-0.3435,-96.1298
6621,0.8491,-0.2485,1.3286,105.6107,-13.9924,-83.3053
6641,0.9658,-0.2388,1.4011,81.1221,-17.2366,-51.6718
6661,0.8953,-0.3452,1.4001,62.6565,-19.3817,-22.8855
6681,0.769,-0.2717,1.5237,51.3511,-32.4351,-11.5191
6701,0.7559,-0.2661,1.4958,19.0611,-32.5649,-6.1832
6721,0.8054,-0.2734,1.5117,-5.4656,-20.4886,7.8855
6741,0.8284,-0.335,1.6145,-38.6794,-16.9695,25.4198
6761,0.8413,-0.345,1.5178,-72.7176,-14.9618,41.9237
6781,0.7278,-0.3594,1.3818,-90.1985,-12.2901,55.8244
6801,0.6689,-0.4001,1.3816,-102.3206,-20.8779,61.6107
6821,0.6768,-0.4141,1.3225,-118.7023,-29.0992,66.4198
6841,0.6584,-0.4236,1.2654,-133.7405,-35,78.7939
6861,0.5999,-0.4456,1.2209,-146.9542,-44.687,89.0382
6881,0.5825,-0.49,1.1282,-157.8626,-59.5267,92.7099
6901,0.5518,-0.4819,1.0283,-168.6641,-60.771,99.5878
6921,0.5022,-0.5073,1.0017,-179.5038,-64.7557,108.4657
6941,0.5295,-0.5203,1.0203,-192.3817,-90.9389,114.0458
6961,0.572,-0.4783,0.8479,-210.4886,-126.0229,118.5802
6981,0.5186,-0.4211,0.4768,-213.0305,-123.1756,134.855
7001,0.3828,-0.467,0.3125,-190.6488,-97.0992,156.6488
7021,0.2275,-0.6035,0.3269,-171.5267,-74.7023,161.3664
7041,0.1709,-0.6736,0.3149,-167.8473,-52.9466,150.3893
7061,0.2041,-0.6912,0.3308,-170.3817,-41.7481,140.3817
7081,0.2268,-0.6655,0.2412,-171.2443,-45.8855,138.4657
7101,0.1865,-0.6614,0.1265,-166.2137,-41.0153,143.1527
7121,0.1248,-0.676,0.0972,-165.0305,-22.6412,148.9771
7141,0.1345,-0.6704,0.1201,-168.8244,-20.1527,151.6183
7161,0.1033,-0.6248,0.0867,-173.6107,-31.4122,155.2214
7181,0.032,-0.5725,-0.0173,-175.7099,-39.916,163.2061
7201,-0.0522,-0.541,-0.1577,-178.0534,-27.0687,173.8473
7221,-0.0972,-0.5083,-0.2544,-178.0687,-0.0763,185.5496
7241,-0.1699,-0.4932,-0.3132,-175.6641,22.7481,191.6488
7261,-0.2222,-0.467,-0.3516,-173.4504,34.0229,192.4962
7281,-0.3083,-0.4309,-0.3372,-172.8473,29.0229,185.084
7301,-0.325,-0.3511,-0.4062,-175.5802,24.313,178.3664
7321,-0.3752,-0.2942,-0.4646,-175.9008,31.2595,177.8168
7341,-0.3938,-0.21,-0.592,-179.1527,43.0611,181.9847
7361,-0.5166,-0.1567,-0.7202,-174.4886,43.6031,178.7328
7381,-0.707,-0.1028,-0.8518,-158.8779,22.7328,154.4046
7401,-0.9255,-0.1282,-1.0518,-122.084,-17.9389,115.3282
7421,-1.1099,-0.1582,-1.1675,-73.5954,-68.5649,55.4656
7441,-1.0466,-0.1174,-1.2793,-32.5878,-91.0763,-2.8473
7461,-0.9358,-0.1121,-1.3164,4.374,-75.2519,-24.0534
7481,-0.8787,-0.052,-1.228,33.4122,-35.2901,-21.9542
7501,-0.9016,-0.1326,-1.1626,48.374,0.1679,-22.6641
7521,-0.9863,-0.2031,-1.1248,81.9466,7.6794,-40.8473
7541,-0.9417,-0.271,-0.9658,114.8473,0.6794,-72.8931
7561,-0.8464,-0.283,-0.8296,131.6718,3.626,-98.3359
7581,-0.6685,-0.2754,-0.6968,139.9924,10.5115,-112.5725
7601,-0.51,-0.3491,-0.6326,146.2672,20.3282,-110.3588
7621,-0.4341,-0.4175,-0.4792,150.6718,34.7099,-101.5802
7641,-0.3909,-0.4624,-0.3701,148.8702,44.5344,-93.4427
7661,-0.3752,-0.5027,-0.2622,141.626,49.8931,-84.9695
7681,-0.374,-0.5588,-0.218,135.7939,49.4046,-84.9695
7701,-0.3518,-0.5784,-0.2134,135.7939,42.7634,-90.3588
7721,-0.2898,-0.5566,-0.2666,140.9466,32.7634,-99.0458
